step,mean_reward,mean_improvement,mean_tokens,mean_prompt_leaks,datums,groups,elapsed_sec
1,-2.287205766858928,0.012394608998077386,58.77777777777778,0.0,9,3,8.332260131835938
2,0.01849708604354272,0.03485163752710209,57.77777777777778,0.0,9,3,17.215065002441406
3,-0.1495827724159402,0.034437505609173934,59.888888888888886,0.0,9,3,26.540194034576416
4,-1.7852490663317246,0.015280842670016087,55.22222222222222,0.0,9,3,46.372950077056885
5,-2.8201343007924504,0.006865323658742162,58.44444444444445,0.0,9,3,63.24422311782837
6,-2.1573542311973344,0.013893124354693323,59.11111111111111,0.0,9,3,74.19766020774841
7,-1.9171612606713204,0.018161720726620128,62.22222222222222,0.0,9,3,84.36539101600647
8,-1.0879399971640327,0.02312060002835967,56.666666666666664,0.0,9,3,92.84044122695923
9,-3.0637886537575905,0.005228780129090759,59.77777777777778,0.0,9,3,100.99068212509155
10,-0.34084139565321325,0.03219158604346787,59.333333333333336,0.0,9,3,110.01624011993408
